,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
1,Adelie,Torgersen,39.1,18.7,181,3750,male,2007
2,Gentoo,Biscoe,45,15.4,220,5050,male,2008
3,Adelie,Biscoe,42,19.5,200,4050,male,2008
4,Adelie,Torgersen,36.7,18.8,187,3800,female,2008
5,Gentoo,Biscoe,48.5,15,219,4850,female,2009
6,Chinstrap,Dream,43.2,16.6,187,2900,female,2007
7,Adelie,Dream,41.5,18.5,201,4000,male,2009
8,Adelie,Dream,40.2,17.1,193,3400,female,2009
9,Gentoo,Biscoe,44.9,13.8,212,4750,female,2009
10,Gentoo,Biscoe,44.5,15.7,217,4875,NA,2009
11,Chinstrap,Dream,51.5,18.7,187,3250,male,2009
12,Chinstrap,Dream,47,17.3,185,3700,female,2007
